nl,nl_template,sql,sql_template
How many females suffer from Diabetes,How many females suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many females suffer from heart failure,How many females suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many female patients suffer from Diabetes,How many female patients suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many female patients suffer from heart failure,How many female patients suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many Diabetes patients are females,How many PROBLEM_1 patients are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many heart failure patients are females,How many PROBLEM_1 patients are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many patients have Diabetes and are females,How many patients have PROBLEM_1 and are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many patients have heart failure and are females,How many patients have PROBLEM_1 and are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many Diabetes patients have been admitted who are females,How many PROBLEM_1 patients have been admitted who are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many heart failure patients have been admitted who are females,How many PROBLEM_1 patients have been admitted who are females,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many female patients have Diabetes,How many female patients have PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many female patients have heart failure,How many female patients have PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'F',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'F'
How many males suffer from Diabetes,How many males suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many males suffer from heart failure,How many males suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many male patients suffer from Diabetes,How many male patients suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many male patients suffer from heart failure,How many male patients suffer from PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many Diabetes patients are males,How many PROBLEM_1 patients are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many heart failure patients are males,How many PROBLEM_1 patients are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many patients have Diabetes and are males,How many patients have PROBLEM_1 and are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many patients have heart failure and are males,How many patients have PROBLEM_1 and are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many Diabetes patients have been admitted who are males,How many PROBLEM_1 patients have been admitted who are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many heart failure patients have been admitted who are males,How many PROBLEM_1 patients have been admitted who are males,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many male patients have Diabetes,How many male patients have PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many male patients have heart failure,How many male patients have PROBLEM_1,select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%' )) and gender = 'M',select count(distinct subject_id) from PATIENTS where subject_id IN ( select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%' )) and gender = 'M'
How many patients were tested for radiograph,How many patients were tested for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%'),select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%')
How many patients had radiograph test performed,How many patients had TEST_1 test performed,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%'),select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%')
How many patients were tested for radiograph positive,How many patients were tested for TEST_1 positive,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients had positive radiograph test,How many patients had positive TEST_1 test,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients had positive labs for radiograph,How many patients had positive labs for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients had positive results for radiograph,How many patients had positive results for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients had radiograph test performed and had positive results,How many patients had TEST_1 test performed and had positive results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients were tested for radiograph and had positive results,How many patients were tested for TEST_1 and had positive results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='POSITIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='POSITIVE'
How many patients were tested for radiograph negative,How many patients were tested for TEST_1 negative,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients had negative radiograph test,How many patients had negative TEST_1 test,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients had negative labs for radiograph,How many patients had negative labs for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients had negative results for radiograph,How many patients had negative results for TEST_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients had radiograph test performed and had negative results,How many patients had TEST_1 test performed and had negative results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients were tested for radiograph and had negative results,How many patients were tested for TEST_1 and had negative results,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and value='NEGATIVE',select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and value='NEGATIVE'
How many patients were tested for radiograph whose results were greater than 1.5,How many patients were tested for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were greater than 4.9,How many patients were tested for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were greater than 3.54,How many patients were tested for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were greater than 1.5,How many patients had TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were greater than 4.9,How many patients had TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were greater than 3.54,How many patients had TEST_1 test whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were greater than 1.5,How many patients had labs for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were greater than 4.9,How many patients had labs for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were greater than 3.54,How many patients had labs for TEST_1 whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph greater than 1.5,How many patients had results for TEST_1 greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph greater than 4.9,How many patients had results for TEST_1 greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph greater than 3.54,How many patients had results for TEST_1 greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test performed and whose results were greater than 1.5,How many patients had TEST_1 test performed and whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test performed and whose results were greater than 4.9,How many patients had TEST_1 test performed and whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test performed and whose results were greater than 3.54,How many patients had TEST_1 test performed and whose results were greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results greater than 1.5,How many patients were tested for TEST_1 and had results greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results greater than 4.9,How many patients were tested for TEST_1 and had results greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results greater than 3.54,How many patients were tested for TEST_1 and had results greater than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were above 1.5,How many patients were tested for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were above 4.9,How many patients were tested for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were above 3.54,How many patients were tested for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were above 1.5,How many patients had TEST_1 test whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were above 4.9,How many patients had TEST_1 test whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test whose results were above 3.54,How many patients had TEST_1 test whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were above 1.5,How many patients had labs for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were above 4.9,How many patients had labs for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had labs for radiograph whose results were above 3.54,How many patients had labs for TEST_1 whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph above 1.5,How many patients had results for TEST_1 above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph above 4.9,How many patients had results for TEST_1 above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had results for radiograph above 3.54,How many patients had results for TEST_1 above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test performed and whose results were above 1.5,How many patients had TEST_1 test performed and whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
