nl_template,sql_template,sql,ANSWER,MIMIC TABLES USED,DESCRIPTION,TASK FOR YOU GUYS,
How many patients died in the ICU?,,,,,,,
How many people were re-admitted after having heart transplant done at the hospital,,,,,,,
How many patients were given lorazepam intramuscularly? (IM) ,prescriptions table (IM is a dosage form) ,,,,,,
"For patients with Diabetes Type 1, what is the averge of the lowest values glucose?",,,,,,,
" Patients with cystic fibrosis admitted for pneumonia, what sputum cultures",,,,,,,
"Were generics provided when possible for treatment of .... (basially we should maximize use of generics vs brand name drugs , espeecially for patients with medicare or dont have insurance to maximize savings)",,,,,,,
What was the main reason for admission for patients who stayed at the hospital for less than 3 days?," SELECT subject_id, MAX(los)
FROM icustays
GROUP BY subject_id
HAVING MAX(los) <= 3;",,,,,,
Average age of patients who died in hospital and were single?,,,,,,,
How many patients received pyschiatric services in the hospital were transferred? ,curr_serv under,,,,,,
How many pregnant patients had abnormal Alkaline phosphatase lab values?,,,,,,,
 were any patients with a reported Long QT on ECG given amoxicillin,,,,,,,
How many patients received surgical services as well as psychiatric services in the hospital,,,,,,,
